CAGR | ADANIPORTS | 2014-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2014-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2015-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2016-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2016-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2016-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2016-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2016-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2016-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2017-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2017-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2017-03 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2017-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2017-03 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2017-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2018-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2018-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2018-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2019-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2019-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2019-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2020-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2020-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2020-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2021-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2021-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2021-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2022-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2022-03 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2022-03 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | pat_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | pat_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | pat_cagr_10yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | eps_cagr_3yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | eps_cagr_5yr | INSUFFICIENT
CAGR | ADANIPORTS | 2024-09 | eps_cagr_10yr | INSUFFICIENT
CAGR | ADANIPOWER | 2013-03 | revenue_cagr_3yr | INSUFFICIENT
CAGR | ADANIPOWER | 2013-03 | revenue_cagr_5yr | INSUFFICIENT
CAGR | ADANIPOWER | 2013-03 | revenue_cagr_10yr | INSUFFICIENT
CAGR | ADANIPOWER | 2013-03 | pat_cagr_3yr | INSUFFICIENT
